# N,  zmet, start, trunc, tau, theta 
       191  0.003  5.000 11.0000  1.300 -1.730
       192  0.003  5.000 11.0000  1.300 -5.660
       193  0.003  5.000 11.0000  2.000 -1.000
       194  0.003  5.000 11.0000  2.000 -1.730
       195  0.003  5.000 11.0000  2.000 -5.660
       196  0.003  5.000 11.0000  9.000 -1.000
       197  0.003  5.000 11.0000  9.000 -1.730
       198  0.003  5.000 11.0000  9.000 -5.660
       199  0.003  5.000 13.0000  0.300 -1.000
       200  0.003  5.000 13.0000  0.300 -1.730
       201  0.003  5.000 13.0000  0.300 -5.660
       202  0.003  5.000 13.0000  0.700 -1.000
       203  0.003  5.000 13.0000  0.700 -1.730
       204  0.003  5.000 13.0000  0.700 -5.660
       205  0.003  5.000 13.0000  1.000 -1.000
       206  0.003  5.000 13.0000  1.000 -1.730
       207  0.003  5.000 13.0000  1.000 -5.660
       208  0.003  5.000 13.0000  1.300 -1.000
       209  0.003  5.000 13.0000  1.300 -1.730
       210  0.003  5.000 13.0000  1.300 -5.660
       211  0.003  5.000 13.0000  2.000 -1.000
       212  0.003  5.000 13.0000  2.000 -1.730
       213  0.003  5.000 13.0000  2.000 -5.660
       214  0.003  5.000 13.0000  9.000 -1.000
       215  0.003  5.000 13.0000  9.000 -1.730
       216  0.003  5.000 13.0000  9.000 -5.660
       217  0.003  7.000 11.0000  0.300 -1.000
       218  0.003  7.000 11.0000  0.300 -1.730
       219  0.003  7.000 11.0000  0.300 -5.660
       220  0.003  7.000 11.0000  0.700 -1.000
       221  0.003  7.000 11.0000  0.700 -1.730
       222  0.003  7.000 11.0000  0.700 -5.660
       223  0.003  7.000 11.0000  1.000 -1.000
       224  0.003  7.000 11.0000  1.000 -1.730
       225  0.003  7.000 11.0000  1.000 -5.660
       226  0.003  7.000 11.0000  1.300 -1.000
       227  0.003  7.000 11.0000  1.300 -1.730
       228  0.003  7.000 11.0000  1.300 -5.660
       229  0.003  7.000 11.0000  2.000 -1.000
       230  0.003  7.000 11.0000  2.000 -1.730
       231  0.003  7.000 11.0000  2.000 -5.660
       232  0.003  7.000 11.0000  9.000 -1.000
       233  0.003  7.000 11.0000  9.000 -1.730
       234  0.003  7.000 11.0000  9.000 -5.660
       235  0.003  7.000 13.0000  0.300 -1.000
       236  0.003  7.000 13.0000  0.300 -1.730
       237  0.003  7.000 13.0000  0.300 -5.660
       238  0.003  7.000 13.0000  0.700 -1.000
       239  0.003  7.000 13.0000  0.700 -1.730
       240  0.003  7.000 13.0000  0.700 -5.660
       241  0.003  7.000 13.0000  1.000 -1.000
       242  0.003  7.000 13.0000  1.000 -1.730
       243  0.003  7.000 13.0000  1.000 -5.660
       244  0.003  7.000 13.0000  1.300 -1.000
       245  0.003  7.000 13.0000  1.300 -1.730
       246  0.003  7.000 13.0000  1.300 -5.660
       247  0.003  7.000 13.0000  2.000 -1.000
       248  0.003  7.000 13.0000  2.000 -1.730
       249  0.003  7.000 13.0000  2.000 -5.660
       250  0.003  7.000 13.0000  9.000 -1.000
       251  0.003  7.000 13.0000  9.000 -1.730
       252  0.003  7.000 13.0000  9.000 -5.660
       253  0.010  1.000 5.0000  0.300 -1.000
       254  0.010  1.000 5.0000  0.300 -1.730
       255  0.010  1.000 5.0000  0.300 -5.660
       256  0.010  1.000 5.0000  0.700 -1.000
       257  0.010  1.000 5.0000  0.700 -1.730
       258  0.010  1.000 5.0000  0.700 -5.660
       259  0.010  1.000 5.0000  1.000 -1.000
       260  0.010  1.000 5.0000  1.000 -1.730
       261  0.010  1.000 5.0000  1.000 -5.660
       262  0.010  1.000 5.0000  1.300 -1.000
       263  0.010  1.000 5.0000  1.300 -1.730
       264  0.010  1.000 5.0000  1.300 -5.660
       265  0.010  1.000 5.0000  2.000 -1.000
       266  0.010  1.000 5.0000  2.000 -1.730
       267  0.010  1.000 5.0000  2.000 -5.660
       268  0.010  1.000 5.0000  9.000 -1.000
